Company Name,Industry,Symbol,Series,ISIN Code,Belongs_To_Indices
360ONE,Financial Services,360ONE,EQ,INE219A01012,NIFTY FINANCIAL SERVICES
ABB India Ltd.,Capital Goods,ABB,EQ,INE117A01022,"NIFTY ENERGY, NIFTY INDIA MANUFACTURING, NIFTY MNC"
ABC Capital Markets Ltd.,Financial Services,ABCAPITAL,EQ,INE610J01012,NIFTY FINANCIAL SERVICES
Adani Enterprises Ltd.,Metals & Mining,ADANIENT,EQ,INE423A01024,NIFTY METAL
Adani Energy Solutions Ltd.,Power,ADANIENSOL,EQ,INE931S01010,"NIFTY COMMODITIES, NIFTY ENERGY"
Adani Green Energy Ltd.,Power,ADANIGREEN,EQ,INE364U01010,"NIFTY COMMODITIES, NIFTY ENERGY, NIFTY INFRASTRUCTURE"
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ,INE742F01042,"NIFTY INFRASTRUCTURE, NIFTY SERVICES SECTOR"
Adani Power Ltd.,Power,ADANIPOWER,EQ,INE814H01029,"NIFTY COMMODITIES, NIFTY ENERGY, NIFTY INDIA CONSUMPTION"
Alkem Laboratories Ltd.,Healthcare,ALKEM,EQ,INE547F01019,"NIFTY INDIA MANUFACTURING, NIFTY PHARMA"
Amber Enterprises India Ltd.,Consumer Durables,AMBER,EQ,INE376G01013,NIFTY CONSUMER DURABLES
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,EQ,INE079A01024,"NIFTY COMMODITIES, NIFTY INFRASTRUCTURE, NIFTY MNC"
Angel One Ltd.,Financial Services,ANGELONE,EQ,INE801G01013,NIFTY FINANCIAL SERVICES
Aplapollo Pharmaceuticals Limited,Healthcare,APLAPOLLO,EQ,INE437C01019,"NIFTY COMMODITIES, NIFTY INDIA MANUFACTURING, NIFTY METAL"
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,EQ,INE437A01024,"NIFTY INDIA CONSUMPTION, NIFTY INFRASTRUCTURE, NIFTY SERVICES SECTOR"
Ashok Leyland Ltd.,Automobile and Auto Components,ASHOKLEY,EQ,INE208A01029,"NIFTY AUTO, NIFTY INDIA MANUFACTURING, NIFTY INFRASTRUCTURE, NIFTY MNC"
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,INE021A01026,NIFTY INDIA CONSUMPTION
Astral Ltd.,Capital Goods,ASTRAL,EQ,INE009A01031,NIFTY INDIA MANUFACTURING
AU Small Finance Bank Ltd.,Financial Services,AUBANK,EQ,INE406F01016,NIFTY BANK
Auropharma,Healthcare,AUROPHARMA,EQ,INE517B01014,"NIFTY INDIA MANUFACTURING, NIFTY PHARMA"
Avenue Supermarts Ltd.,Consumer Services,DMART,EQ,INE192R01011,"NIFTY INDIA CONSUMPTION, NIFTY SERVICES SECTOR"
Axis Bank Ltd.,Financial Services,AXISBANK,EQ,INE238A01034,"NIFTY BANK, NIFTY FINANCIAL SERVICES, NIFTY PRIVATE BANK, NIFTY SERVICES SECTOR"
"NIFTY AUTO, NIFTY INDIA MANUFACTURING, NIFTY INFRASTRUCTURE"
Mphasis,Information Technology,MPHASIS,EQ,INE356A01018,"NIFTY INDIA DIGITAL, NIFTY IT"
Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM,EQ,INE192A01025,"NIFTY FMCG, NIFTY INDIA CONSUMPTION"
Tata Elxsi Limited,Information Technology,TATAELXSI,EQ,INE687G01015,NIFTY INDIA DIGITAL
Tata Motors Ltd.,Automobile and Auto Components,TATAMOTORS,EQ,INE155A01022,NIFTY AUTO
Tata Power Co. Ltd.,Power,TATAPOWER,EQ,INE245A01021,"NIFTY COMMODITIES, NIFTY ENERGY, NIFTY INDIA CONSUMPTION, NIFTY INFRASTRUCTURE, NIFTY SERVICES SECTOR"
Tata Steel Ltd.,Metals & Mining,TATASTEEL,EQ,INE081A01020,"NIFTY COMMODITIES, NIFTY INDIA MANUFACTURING, NIFTY METAL"
Tata Technologies,Information Technology,TATATECH,EQ,INE378A01013,NIFTY INDIA DIGITAL
Tata Consultancy Services Ltd.,Information Technology,TCS,EQ,INE467B01029,"NIFTY INDIA DIGITAL, NIFTY IT, NIFTY SERVICES SECTOR"
